PRICE,BEDS,BATH,PROPERTYSQFT,TYPE_Condo for sale,TYPE_House for sale,TYPE_Land for sale,TYPE_Multi-family home for sale,TYPE_Townhouse for sale,SUBLOCALITY_Kings County,SUBLOCALITY_Manhattan,SUBLOCALITY_New York,SUBLOCALITY_Queens,SUBLOCALITY_Richmond County,SUBLOCALITY_Staten Island,SUBLOCALITY_The Bronx
1730000,6,2.3738608579684373,3024.0,False,True,False,False,False,False,False,False,True,False,False,False
425000,5,2.0,2184.207862,False,False,False,True,False,False,False,False,False,False,False,True
2500000,5,2.3738608579684373,1450.0,False,True,False,False,False,False,False,False,True,False,False,False
998000,4,4.0,2000.0,False,True,False,False,False,False,False,False,False,True,False,False
1195000,4,4.0,2688.0,False,True,False,False,False,False,False,False,False,True,False,False
1649000,3,2.0,2052.0,False,True,False,False,False,True,False,False,False,False,False,False
955000,4,4.0,2100.0,False,True,False,False,False,False,False,False,False,True,False,False
949000,6,3.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
880000,3,2.0,1743.0,False,True,False,False,False,False,False,False,True,False,False,False
39995000,4,2.3738608579684373,10582.0,False,False,False,False,True,False,False,True,False,False,False,False
1250000,8,2.3738608579684373,2184.207862,False,False,False,False,True,False,False,True,False,False,False,False
198000,1,1.0,750.0,True,False,False,False,False,False,False,False,True,False,False,False
549000,5,3.0,496.0,False,True,False,False,False,False,False,False,False,False,False,True
1088888,3,4.0,1320.0,False,True,False,False,False,True,False,False,False,False,False,False
888000,4,2.0,2686.0,False,True,False,False,False,False,False,False,False,False,False,True
1449999,3,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
14900000,5,5.0,2184.207862,False,False,False,False,True,False,False,True,False,False,False,False
2499000,5,2.3738608579684373,4100.0,False,True,False,False,False,False,False,False,True,False,False,False
1970000,4,4.0,2508.0,False,False,False,False,True,True,False,False,False,False,False,False
1895000,2,2.0,2184.207862,False,False,False,False,False,False,False,False,False,False,False,False
689000,3,2.3738608579684373,1248.0,False,True,False,False,False,False,False,False,False,True,False,False
649999,3,2.0,1440.0,False,True,False,False,False,False,False,False,False,True,False,False
669000,3,2.0,864.0,False,True,False,False,False,False,False,False,False,True,False,False
800000,3,2.0,825.0,False,True,False,False,False,True,False,False,False,False,False,False
2375000,1,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
390000,2,1.0,586.0,False,True,False,False,False,False,False,False,False,True,False,False
2250000,1,1.0,2184.207862,True,False,False,False,False,False,False,True,False,False,False,False
1450000,4,2.3738608579684373,2700.0,False,True,False,False,False,False,False,False,False,True,False,False
725000,2,2.0,792.0,True,False,False,False,False,False,False,False,False,False,False,False
269000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,False,False,False,True
695000,2,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
1300000,3,2.0,2184.207862,False,True,False,False,False,False,False,False,False,False,False,True
459000,3,2.0,1250.0,False,False,False,False,False,True,False,False,False,False,False,False
689999,3,2.0,1008.0,False,True,False,False,False,False,False,False,False,True,False,False
425000,3,2.0,1405.0,False,False,False,False,False,False,False,False,True,False,False,False
10000000,5,4.0,6800.0,False,True,False,False,False,False,False,True,False,False,False,False
1525000,2,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
1499000,9,6.0,3519.0,False,False,False,True,False,True,False,False,False,False,False,False
695000,2,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
1300000,3,2.0,2184.207862,False,True,False,False,False,False,False,False,False,False,False,True
269000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,False,False,False,True
425000,3,2.0,1405.0,False,False,False,False,False,False,False,False,True,False,False,False
1499000,9,6.0,3519.0,False,False,False,True,False,True,False,False,False,False,False,False
519000,3,2.0,1480.0,False,True,False,False,False,False,False,False,False,True,False,False
358000,2,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
975000,3,1.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
498000,2,1.0,975.0,False,False,False,False,False,False,False,False,False,False,False,False
385000,1,2.0,900.0,False,False,False,False,False,False,False,False,True,False,False,False
999000,6,2.0,3144.0,False,False,False,True,False,False,False,False,False,False,False,True
399000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
829888,4,2.3738608579684373,1800.0,False,True,False,False,False,False,False,True,False,False,False,False
699998,3,2.0,1548.0,False,False,False,False,True,False,False,False,False,True,False,False
1088000,5,2.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
999000,6,2.0,1280.0,False,True,False,False,False,False,False,False,False,False,False,True
265000,1,1.0,700.0,False,False,False,False,False,False,False,False,True,False,False,False
288000,1,1.0,845.0,False,False,False,False,False,False,False,False,False,False,False,False
999995,3,2.0,1750.0,False,False,False,False,False,False,False,True,False,False,False,False
1495000,2,2.0,1350.0,False,False,False,False,False,False,False,True,False,False,False,False
925000,1,1.0,1000.0,False,False,False,False,False,False,False,True,False,False,False,False
349000,2,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
2000000,4,4.0,3000.0,True,False,False,False,False,False,False,True,False,False,False,False
839000,3,2.0,1376.0,True,False,False,False,False,True,False,False,False,False,False,False
329000,1,1.0,820.0,False,False,False,False,False,False,False,False,True,False,False,False
899000,6,3.0,3683.0,False,False,False,True,False,False,False,False,False,False,False,True
615000,3,2.0,2184.207862,False,True,False,False,False,True,False,False,False,False,False,False
800000,2,2.0,1257.0,True,False,False,False,False,False,False,True,False,False,False,False
430000,2,2.0,1248.0,True,False,False,False,False,False,False,False,False,False,True,False
439500,3,2.0,1400.0,False,False,False,False,False,False,False,False,True,False,False,False
299000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
2580000,8,2.3738608579684373,6493.0,False,True,False,False,False,False,False,False,False,True,False,False
200000,1,1.0,613.0,True,False,False,False,False,False,False,False,False,False,False,True
425000,3,1.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
69000,1,1.0,850.0,False,False,False,False,False,False,False,False,False,False,False,True
1995000,3,2.0,1546.0,True,False,False,False,False,False,False,True,False,False,False,False
230000,1,1.0,620.0,False,False,False,False,False,False,False,True,False,False,False,False
220000,1,1.0,590.0,False,False,False,False,False,False,False,False,True,False,False,False
198000,3,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
1495000,1,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
475000,1,1.0,615.0,False,False,False,False,False,False,False,True,False,False,False,False
199900,2,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
1150000,2,2.0,1444.0,False,True,False,False,False,False,False,False,False,True,False,False
1575000,3,2.0,2184.207862,False,True,False,False,False,True,False,False,False,False,False,False
229000,1,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
320000,2,2.0,936.0,True,False,False,False,False,False,False,False,False,False,False,True
295000,2,1.0,700.0,False,False,False,False,False,False,False,False,False,False,False,False
550000,3,2.0,2184.207862,False,True,False,False,False,True,False,False,False,False,False,False
285000,2,1.0,1000.0,True,False,False,False,False,False,False,False,False,False,False,True
